name numCPUs frequency totalmemory(GB) boot migrationIn migrationOut checkpoint IdleBattage bootPower hostBootTime 
Host1 4 3000 4 41 60 30 30 230 275 60
Host2 4 3000 4 41 60 30 30 230 275 60
Host3 4 3000 4 41 60 30 30 230 275 60
Host4 4 3000 4 41 60 30 30 230 275 60
Host5 4 3000 4 41 60 30 30 230 275 60
Host6 4 3000 4 41 60 30 30 230 275 60
Host7 4 3000 4 41 60 30 30 230 275 60
Host8 4 3000 4 41 60 30 30 230 275 60
Host9 4 3000 4 41 60 30 30 230 275 60
Host10 4 3000 4 41 60 30 30 230 275 60
Host11 4 3000 4 41 60 30 30 230 275 60
Host12 4 3000 4 41 60 30 30 230 275 60
Host13 4 3000 4 41 60 30 30 230 275 60
Host14 4 3000 4 41 60 30 30 230 275 60
Host15 4 3000 4 41 60 30 30 230 275 60
Host16 4 3000 4 41 60 30 30 230 275 60
Host17 4 3000 4 41 60 30 30 230 275 60
Host18 4 3000 4 41 60 30 30 230 275 60
Host19 4 3000 4 41 60 30 30 230 275 60
Host20 4 3000 4 41 60 30 30 230 275 60
Host21 4 3000 4 41 60 30 30 230 275 60
Host22 4 3000 4 41 60 30 30 230 275 60
Host23 4 3000 4 41 60 30 30 230 275 60
Host24 4 3000 4 41 60 30 30 230 275 60
Host25 4 3000 4 41 60 30 30 230 275 60
